accuracy,timestamp,type,value
3,398166259984438000,HeartBeat,1
3,398167956995324000,HeartRate,85
3,398166946988865000,HeartBeat,1
3,398168957001730000,HeartRate,85
3,398167640993292000,HeartBeat,1
3,398168348997824000,HeartBeat,1
3,398169957008084000,HeartRate,85
3,398169051002303000,HeartBeat,1
3,398170957014490000,HeartRate,85
3,398169752006782000,HeartBeat,1
3,398170459011313000,HeartBeat,1
3,398171957020897000,HeartRate,84
3,398171163015844000,HeartBeat,1
3,398172957027303000,HeartRate,84
3,398171860020272000,HeartBeat,1
3,398172548024699000,HeartBeat,1
3,398173957033709000,HeartRate,84
3,398173224029022000,HeartBeat,1
3,398174957040115000,HeartRate,85
3,398173907033397000,HeartBeat,1
3,398175957046522000,HeartRate,85
3,398174612037876000,HeartBeat,1
3,398175326042459000,HeartBeat,1
3,398176957052928000,HeartRate,85
3,398176046047094000,HeartBeat,1
3,398177957059334000,HeartRate,84
3,398176778051782000,HeartBeat,1
3,398177506056417000,HeartBeat,1
3,398178957065688000,HeartRate,84
3,398178233061053000,HeartBeat,1
3,398179957072094000,HeartRate,84
3,398178957065688000,HeartBeat,1
3,398180957078501000,HeartRate,83
3,398179668070272000,HeartBeat,1
3,398180359074699000,HeartBeat,1
3,398181957084907000,HeartRate,84
3,398181059079178000,HeartBeat,1
3,398182957091313000,HeartRate,84
3,398181744083553000,HeartBeat,1
3,398182447088032000,HeartBeat,1
3,398183957097719000,HeartRate,84
3,398183147092511000,HeartBeat,1
3,398184957104126000,HeartRate,84
3,398183838096938000,HeartBeat,1
3,398184546101469000,HeartBeat,1
3,398185957110532000,HeartRate,84
3,398185239105897000,HeartBeat,1
3,398186957116886000,HeartRate,84
3,398185935110376000,HeartBeat,1
3,398187957123292000,HeartRate,84
3,398186630114803000,HeartBeat,1
3,398187326119282000,HeartBeat,1
3,398188957129699000,HeartRate,84
3,398188033123813000,HeartBeat,1
3,398189957136105000,HeartRate,84
3,398188750128397000,HeartBeat,1
3,398189466132980000,HeartBeat,1
3,398190957142511000,HeartRate,84
3,398190185137563000,HeartBeat,1
3,398191957148917000,HeartRate,84
3,398190911142199000,HeartBeat,1
3,398192957155324000,HeartRate,84
3,398191615146730000,HeartBeat,1
3,398192313151209000,HeartBeat,1
3,398193957161730000,HeartRate,84
3,398192996155584000,HeartBeat,1
3,398194957168136000,HeartRate,84
3,398193665159855000,HeartBeat,1
3,398194327164074000,HeartBeat,1
3,398195957174490000,HeartRate,85
3,398194999168397000,HeartBeat,1
3,398196957180897000,HeartRate,85
3,398195674172719000,HeartBeat,1
3,398196357177094000,HeartBeat,1
3,398197957188738000,HeartRate,85
3,398197049182489000,HeartBeat,1
3,398198957194676000,HeartRate,85
3,398197742186916000,HeartBeat,1
3,398198433191343000,HeartBeat,1
3,398199957201082000,HeartRate,85
3,398199129195770000,HeartBeat,1
3,398200957207489000,HeartRate,85
3,398199817200197000,HeartBeat,1
3,398200511204624000,HeartBeat,1
3,398201957213895000,HeartRate,85
3,398201222209155000,HeartBeat,1
3,398202957220301000,HeartRate,85
3,398201945213791000,HeartBeat,1
3,398203957226655000,HeartRate,85
3,398202667218426000,HeartBeat,1
3,398203389223061000,HeartBeat,1
3,398204957233061000,HeartRate,84
3,398204103227593000,HeartBeat,1
3,398205957239468000,HeartRate,84
3,398204823232228000,HeartBeat,1
3,398205554236916000,HeartBeat,1
3,398206957245874000,HeartRate,84
3,398206288241603000,HeartBeat,1
3,398207957252280000,HeartRate,83
3,398207021246291000,HeartBeat,1
3,398208957258686000,HeartRate,83
3,398207746250926000,HeartBeat,1
3,398209957265093000,HeartRate,83
3,398208439255353000,HeartBeat,1
3,398209129259780000,HeartBeat,1
3,398210957271499000,HeartRate,84
3,398209825264207000,HeartBeat,1
3,398210506268582000,HeartBeat,1
3,398211957277853000,HeartRate,84
3,398211196273009000,HeartBeat,1
3,398212957284259000,HeartRate,84
3,398211890277436000,HeartBeat,1
3,398212566281759000,HeartBeat,1
3,398213957290666000,HeartRate,85
3,398213252286186000,HeartBeat,1
3,398214957297072000,HeartRate,85
3,398213954290666000,HeartBeat,1
3,398215957303478000,HeartRate,85
3,398214665295197000,HeartBeat,1
3,398215369299728000,HeartBeat,1
3,398216957309884000,HeartRate,85
3,398216074304207000,HeartBeat,1
3,398217957316291000,HeartRate,85
3,398216763308634000,HeartBeat,1
3,398217464313114000,HeartBeat,1
3,398218957322697000,HeartRate,85
3,398218182317697000,HeartBeat,1
3,398219957329103000,HeartRate,85
3,398218889322228000,HeartBeat,1
3,398220957335457000,HeartRate,85
3,398219599326811000,HeartBeat,1
3,398220308331343000,HeartBeat,1
3,398221957341864000,HeartRate,84
3,398220991335718000,HeartBeat,1
3,398222957348270000,HeartRate,85
3,398221672340041000,HeartBeat,1
3,398222348344364000,HeartBeat,1
3,398223957354676000,HeartRate,85
3,398223025348739000,HeartBeat,1
3,398224957361082000,HeartRate,85
3,398223709353114000,HeartBeat,1
3,398224396357489000,HeartBeat,1
3,398225957367489000,HeartRate,86
3,398225091361916000,HeartBeat,1
3,398226957373895000,HeartRate,86
3,398225796366447000,HeartBeat,1
3,398226497370926000,HeartBeat,1
3,398227957380301000,HeartRate,85
3,398227184375353000,HeartBeat,1
3,398228957386655000,HeartRate,86
3,398227875379728000,HeartBeat,1
3,398229957393061000,HeartRate,86
3,398228579384259000,HeartBeat,1
3,398229291388791000,HeartBeat,1
3,398230957399468000,HeartRate,85
3,398230006393374000,HeartBeat,1
3,398231957405874000,HeartRate,85
3,398230730398009000,HeartBeat,1
3,398231430402489000,HeartBeat,1
3,398232957412280000,HeartRate,85
3,398232122406916000,HeartBeat,1
3,398233957418686000,HeartRate,85
3,398232830411447000,HeartBeat,1
3,398233542416030000,HeartBeat,1
3,398234957425093000,HeartRate,85
3,398234265420666000,HeartBeat,1
3,398235957431499000,HeartRate,84
3,398234954425041000,HeartBeat,1
3,398236957437853000,HeartRate,85
3,398235639429468000,HeartBeat,1
3,398236335433895000,HeartBeat,1
3,398237957444259000,HeartRate,85
3,398237028438322000,HeartBeat,1
3,398238957450666000,HeartRate,85
3,398237722442749000,HeartBeat,1
3,398238434447332000,HeartBeat,1
3,398239957457072000,HeartRate,85
3,398239129451759000,HeartBeat,1
3,398240957463478000,HeartRate,85
3,398239831456291000,HeartBeat,1
3,398240517460666000,HeartBeat,1
3,398241957469884000,HeartRate,85
3,398241204465041000,HeartBeat,1
3,398242957476291000,HeartRate,85
3,398241906469572000,HeartBeat,1
3,398243957482697000,HeartRate,85
3,398242624474155000,HeartBeat,1
3,398243349478791000,HeartBeat,1
3,398244957489103000,HeartRate,85
3,398244083483478000,HeartBeat,1
3,398245957495457000,HeartRate,84
3,398244822488218000,HeartBeat,1
3,398245547492853000,HeartBeat,1
3,398246957501864000,HeartRate,84
3,398246283497541000,HeartBeat,1
3,398247957508270000,HeartRate,83
3,398247030502332000,HeartBeat,1
3,398248957514676000,HeartRate,83
3,398247773507124000,HeartBeat,1
3,398248509511811000,HeartBeat,1
3,398249957521082000,HeartRate,82
3,398249238516499000,HeartBeat,1
3,398250957527489000,HeartRate,82
3,398249948521030000,HeartBeat,1
3,398251957533895000,HeartRate,83
3,398250640525457000,HeartBeat,1
3,398251344529936000,HeartBeat,1
3,398252957540301000,HeartRate,83
3,398252033534364000,HeartBeat,1
3,398253957546655000,HeartRate,83
3,398252741538895000,HeartBeat,1
3,398253435543322000,HeartBeat,1
3,398254957553061000,HeartRate,84
3,398254133547801000,HeartBeat,1
3,398255957559468000,HeartRate,84
3,398254830552280000,HeartBeat,1
3,398255529556759000,HeartBeat,1
3,398256957565874000,HeartRate,84
3,398256242561291000,HeartBeat,1
3,398257957571684000,HeartRate,84
3,398256986566111000,HeartBeat,1
3,398258957578715000,HeartRate,83
3,398257737570903000,HeartBeat,1
3,398258473575590000,HeartBeat,1
3,398259957585122000,HeartRate,83
3,398259203580278000,HeartBeat,1
3,398260957591528000,HeartRate,83
3,398259926584913000,HeartBeat,1
3,398261957597934000,HeartRate,82
3,398260648589549000,HeartBeat,1
3,398261366594132000,HeartBeat,1
3,398262957604288000,HeartRate,82
3,398262075598663000,HeartBeat,1
3,398263957610695000,HeartRate,83
3,398262783603195000,HeartBeat,1
3,398263480607674000,HeartBeat,1
3,398264957617101000,HeartRate,83
3,398264161611997000,HeartBeat,1
3,398265957623507000,HeartRate,84
3,398264849616424000,HeartBeat,1
3,398265549620903000,HeartBeat,1
3,398266957629913000,HeartRate,84
3,398266256625434000,HeartBeat,1
3,398267957636320000,HeartRate,84
3,398266976630018000,HeartBeat,1
3,398268957642726000,HeartRate,83
3,398267717634757000,HeartBeat,1
3,398268465639549000,HeartBeat,1
3,398269957649132000,HeartRate,83
3,398269200644288000,HeartBeat,1
3,398270957655486000,HeartRate,83
3,398269930648924000,HeartBeat,1
3,398271957661893000,HeartRate,82
3,398270652653559000,HeartBeat,1
3,398271381658247000,HeartBeat,1
3,398272957668299000,HeartRate,82
3,398272102662830000,HeartBeat,1
3,398273957674705000,HeartRate,82
3,398272815667413000,HeartBeat,1
3,398273515671893000,HeartBeat,1
3,398274957681111000,HeartRate,83
3,398274221676424000,HeartBeat,1
3,398275957687518000,HeartRate,83
3,398274928680903000,HeartBeat,1
3,398276957693924000,HeartRate,83
3,398275658685590000,HeartBeat,1
3,398276373690174000,HeartBeat,1
3,398277957700330000,HeartRate,83
3,398277088694757000,HeartBeat,1
3,398278957706684000,HeartRate,83
3,398277829699497000,HeartBeat,1
3,398278559704184000,HeartBeat,1
3,398279957713090000,HeartRate,82
3,398279280708768000,HeartBeat,1
3,398280957719497000,HeartRate,82
3,398279987713299000,HeartBeat,1
3,398281957725903000,HeartRate,83
3,398280683717778000,HeartBeat,1
3,398281390722257000,HeartBeat,1
3,398282957732309000,HeartRate,83
3,398282090726736000,HeartBeat,1
3,398283957738715000,HeartRate,83
3,398282800731320000,HeartBeat,1
3,398283502735799000,HeartBeat,1
3,398284957745122000,HeartRate,83
3,398284197740226000,HeartBeat,1
3,398285957751528000,HeartRate,83
3,398284882744653000,HeartBeat,1
3,398286957757934000,HeartRate,84
3,398285582749132000,HeartBeat,1
3,398286294753663000,HeartBeat,1
3,398287957764288000,HeartRate,84
3,398287008758247000,HeartBeat,1
3,398288957770695000,HeartRate,84
3,398287739762934000,HeartBeat,1
3,398288465767570000,HeartBeat,1
3,398289957777101000,HeartRate,83
3,398289178772101000,HeartBeat,1
3,398290957783507000,HeartRate,83
3,398289885776632000,HeartBeat,1
3,398291957789913000,HeartRate,83
3,398290592781163000,HeartBeat,1
3,398291291785643000,HeartBeat,1
3,398292957796320000,HeartRate,84
3,398291984790070000,HeartBeat,1
3,398293957802726000,HeartRate,84
3,398292673794497000,HeartBeat,1
3,398293349798820000,HeartBeat,1
3,398294957809132000,HeartRate,84
3,398294029803195000,HeartBeat,1
3,398295957815486000,HeartRate,85
3,398294715807570000,HeartBeat,1
3,398295426812101000,HeartBeat,1
3,398296957821893000,HeartRate,85
3,398296124816580000,HeartBeat,1
3,398297957828299000,HeartRate,85
3,398296831821111000,HeartBeat,1
3,398297539825643000,HeartBeat,1
3,398298957834705000,HeartRate,84
3,398298240830122000,HeartBeat,1
3,398299957841111000,HeartRate,84
3,398298942834601000,HeartBeat,1
3,398300957847518000,HeartRate,84
3,398299635839028000,HeartBeat,1
3,398300341843559000,HeartBeat,1
3,398301957853924000,HeartRate,84
3,398301036848038000,HeartBeat,1
3,398302957860330000,HeartRate,85
3,398301741852518000,HeartBeat,1
3,398302438856997000,HeartBeat,1
3,398303957866736000,HeartRate,85
3,398303130861424000,HeartBeat,1
3,398304957873090000,HeartRate,85
3,398303826865851000,HeartBeat,1
3,398304483870070000,HeartBeat,1
3,398305957879497000,HeartRate,85
3,398305137874288000,HeartBeat,1
3,398306957885903000,HeartRate,86
3,398305792878455000,HeartBeat,1
3,398306443882622000,HeartBeat,1
3,398307957892309000,HeartRate,87
3,398307112886893000,HeartBeat,1
3,398308957898715000,HeartRate,87
3,398307790891268000,HeartBeat,1
3,398308488895695000,HeartBeat,1
3,398309957905122000,HeartRate,87
3,398309201900278000,HeartBeat,1
3,398310957911528000,HeartRate,86
3,398309924904913000,HeartBeat,1
3,398311957917934000,HeartRate,86
3,398310655909601000,HeartBeat,1
3,398311361914080000,HeartBeat,1
3,398312957924288000,HeartRate,85
3,398312061918559000,HeartBeat,1
3,398313957930695000,HeartRate,85
3,398312749922986000,HeartBeat,1
3,398313411927205000,HeartBeat,1
3,398314957937101000,HeartRate,86
3,398314072931424000,HeartBeat,1
3,398315957943507000,HeartRate,86
3,398314731935643000,HeartBeat,1
3,398315394939913000,HeartBeat,1
3,398316957949913000,HeartRate,87
3,398316078944288000,HeartBeat,1
3,398317957955620000,HeartRate,87
3,398316791948068000,HeartBeat,1
3,398317513952651000,HeartBeat,1
3,398318957961922000,HeartRate,86
3,398318266957495000,HeartBeat,1
3,398319957968328000,HeartRate,85
3,398319025962339000,HeartBeat,1
3,398320957974682000,HeartRate,84
3,398319775967130000,HeartBeat,1
3,398320524971922000,HeartBeat,1
3,398321957981089000,HeartRate,84
3,398321270976714000,HeartBeat,1
3,398322957987495000,HeartRate,83
3,398321995981349000,HeartBeat,1
3,398323957993901000,HeartRate,83
3,398322701985880000,HeartBeat,1
3,398323389990255000,HeartBeat,1
3,398324958000307000,HeartRate,83
3,398324076994682000,HeartBeat,1
3,398325958006714000,HeartRate,84
3,398324783999214000,HeartBeat,1
3,398325479003641000,HeartBeat,1
3,398326958013120000,HeartRate,84
3,398326191008224000,HeartBeat,1
3,398327958019526000,HeartRate,84
3,398326900012755000,HeartBeat,1
3,398328958025932000,HeartRate,84
3,398327600017234000,HeartBeat,1
3,398328317021818000,HeartBeat,1
3,398329958032286000,HeartRate,84
3,398329028026349000,HeartBeat,1
3,398330958038693000,HeartRate,84
3,398329716030776000,HeartBeat,1
3,398330405035151000,HeartBeat,1
3,398331958045099000,HeartRate,84
3,398331084039526000,HeartBeat,1
3,398332958051505000,HeartRate,84
3,398331764043849000,HeartBeat,1
3,398332473048380000,HeartBeat,1
3,398333958057911000,HeartRate,84
3,398333188052964000,HeartBeat,1
3,398334958064318000,HeartRate,84
3,398333912057599000,HeartBeat,1
3,398335958070724000,HeartRate,84
3,398334646062286000,HeartBeat,1
3,398335374066974000,HeartBeat,1
3,398336958077130000,HeartRate,83
3,398336102071609000,HeartBeat,1
3,398337958083484000,HeartRate,83
3,398336830076297000,HeartBeat,1
3,398337558080932000,HeartBeat,1
3,398338958089891000,HeartRate,83
3,398338286085620000,HeartBeat,1
3,398339958096297000,HeartRate,83
3,398339017090307000,HeartBeat,1
3,398340958102703000,HeartRate,83
3,398339737094891000,HeartBeat,1
3,398340442099422000,HeartBeat,1
3,398341958109109000,HeartRate,83
3,398341144103901000,HeartBeat,1
3,398342958115516000,HeartRate,83
